persist v.堅毅；持續
resist v.抵抗；忍住
assume v.採取；假定
consume v.消耗；吃喝
resume v.恢復
assure v.保證
reassure v.使安心
ensure v.確保
insure v.投保
attack v./n.攻擊
attach v.附(貼)上
speed n./v.(加)速度
spirit n.精神；靈魂
spot n./v.點；地點
spread n./v.散布
stage n.舞台；階段
standard n./a.標準(的)
state v.陳述
toliet n.洗手間
tone n.音調；語氣
tongue n.舌頭
topic n.主題
tour n./v旅行
trade n./v.交易
tradition n.傳統
violin n.小提琴
willing a.願意的
wise a.有智慧的
anticipate v.期待
participate v.參加
apparent a.明顯的
transparent a.透明的
apply v.申請；應徵
comply v.遵守
imply v.暗示
multiply v.相乘；繁殖
reply v./n.回答
supply v./n.提供
apt a.易於...的
adapt v.適應；改編
adopt v.採用；收養
aquarium n.水族館
auditorium n.禮堂
stadium n.體育場
architect n.建築師
detect v.偵測
arrive v.到達
derive v.起源；溯源
strive v.努力
forgive v.原諒
acceptable a.尚可接受的
account n.說明；帳戶
achieve v.達成
actual a.實際的
admire v.讚賞
baggage n.[U]行李
balance n./v.平衡
capital n.首都；資本
capture n./v.捕獲
casual a.隨意的
challenge n./v.挑戰
champion n.冠軍得主
cheerful a.愉快的
dash n./v.猛衝
decade n.十年
deed n.[C]行為
definition n.定義
eager a.渴望的
edition n.版本
educate v.教育
election n.選舉
faint a.微弱的
faith n.信念；信仰
familiar a.熟悉的
fancy a.花俏的
fare n.票價；伙食
gamble n./v.賭博
gang n./v.一幫人
gap n.缺口；差距
handy a.方便的
harbor n.港口
identity n.身分
ignorance n.無知；不知
jealous a.妒忌的
label n./v.標籤
laundry n.[U]待洗衣物
leak n./v.洩漏
magical a.不可思議的
major a.主要的
manage v.管理；做到
native a./n.本地(人)
obivous a.明顯的
occasion n.場合；機會
pale a./v.蒼白(的)
panic n./v.恐慌
parade n./v.遊行
parcel n./v.包裹
patience n.耐心
pause n./v.暫停
pave v.鋪；鋪滿
quarrel v./n.爭吵
reaction n.反應
reasonable a.合理的
receipt n.收據
recognize v.認出；認可
region n.地區；領域
regret n./v.後悔
